2026-09-13 18:00:01 | 192.168.1.10 | admin | SUCCESS
2026-09-13 18:01:10 | 192.168.1.20 | user | SUCCESS
2026-09-13 18:02:01 | 192.168.1.50 | admin | FAILED
2026-09-13 18:02:20 | 192.168.1.50 | admin | FAILED
2026-09-13 18:02:40 | 192.168.1.50 | admin | FAILED
2026-09-13 18:03:00 | 192.168.1.50 | admin | FAILED
2026-09-13 18:03:20 | 192.168.1.50 | admin | FAILED
2026-09-13 18:04:00 | 192.168.1.50 | root | FAILED
2026-09-13 18:04:20 | 192.168.1.50 | test | FAILED
2026-09-13 18:04:40 | 192.168.1.50 | administrator | FAILED
2026-09-13 18:05:00 | 192.168.1.60 | guest | FAILED
2026-09-13 18:06:00 | 192.168.1.60 | guest | FAILED
2026-09-13 18:07:00 | 192.168.1.60 | guest | FAILED
2026-09-13 18:08:00 | 192.168.1.60 | guest | FAILED
2026-09-13 18:09:00 | 192.168.1.60 | guest | FAILED
2026-09-13 18:10:00 | 192.168.1.70 | user | SUCCESS
